id,name,domain,language,framework,difficulty,skills,team_size,description
1,3D Game 1,Blockchain,TypeScript,Spring Boot,Beginner,JavaScript|React|State Management,2,Build a blockchain project using TypeScript and Spring Boot framework.
2,ERP Solution 2,Web,Go,Django,Intermediate,Rust|Memory Safety|Performance,5,Build a web project using Go and Django framework.
3,Dashboard 3,Machine Learning,Java,Next.js,Beginner,JavaScript|React|Node.js|Database,3,Build a machine learning project using Java and Next.js framework.
4,Racing Game 4,Web,JavaScript,Express,Expert,Rust|Memory Safety|Performance,3,Build a web project using JavaScript and Express framework.
5,Mobile App 5,Web,TypeScript,Angular,Advanced,Python|NLP|Text Processing,2,Build a web project using TypeScript and Angular framework.
6,Intrusion Detector 6,Cybersecurity,TypeScript,Svelte,Beginner,Rust|Memory Safety|Performance,5,Build a cybersecurity project using TypeScript and Svelte framework.
7,Backup Tool 7,Mobile,Java,Svelte,Expert,Python|NLP|Machine Learning,3,Build a mobile project using Java and Svelte framework.
8,Load Balancer 8,Mobile,Go,Express,Beginner,Rust|Memory Safety|Performance,1,Build a mobile project using Go and Express framework.
9,Racing Game 9,Machine Learning,JavaScript,Django,Beginner,Java|Spring|Microservices,4,Build a machine learning project using JavaScript and Django framework.
10,API Gateway 10,Cybersecurity,Ruby,Flask,Expert,Python|NLP|Text Processing,4,Build a cybersecurity project using Ruby and Flask framework.
11,Recommendation System 11,Mobile,PHP,Ember,Beginner,Go|Concurrency|Scalability,3,Build a mobile project using PHP and Ember framework.
12,File Manager 12,Data Science,Rust,Flask,Expert,Python|NLP|Machine Learning,5,Build a data science project using Rust and Flask framework.
13,ChatBot 13,Web,Ruby,Express,Advanced,DevOps|Docker|Kubernetes,2,Build a web project using Ruby and Express framework.
14,Blog Platform 14,Data Science,C++,Express,Expert,IoT|Embedded Systems|Hardware,5,Build a data science project using C++ and Express framework.
15,Log Aggregator 15,DevOps,TypeScript,Next.js,Advanced,Java|Spring|Microservices,2,Build a devops project using TypeScript and Next.js framework.
16,Resume Analyzer 16,Mobile,Go,Angular,Expert,Blockchain|Smart Contracts|Crypto,4,Build a mobile project using Go and Angular framework.
17,Strategy Game 17,Game Development,TypeScript,Express,Advanced,Cybersecurity|Encryption|Penetration Testing,3,Build a game development project using TypeScript and Express framework.
18,Data Pipeline 18,AI,Java,Spring Boot,Advanced,Go|Concurrency|Scalability,5,Build a ai project using Java and Spring Boot framework.
19,Resume Analyzer 19,DevOps,Go,Flask,Intermediate,Python|ML|Data Analysis,3,Build a devops project using Go and Flask framework.
